Comment,Designator,Footprint,
10uF,"C2,C3,C103",,
100n,"C4,C5",,
4.7uF,C6,,
0.8pF,C7,,
N.C.,C8,,
100pF,C9,,
12pF,"C10,C11",,
100nF,C12,,
1uF,C13,,
20pF,"C101,C102",,
10nF,"C104,C105",,
LED,"D1,D3",,
5.6V,D2,,
CON_530480410,"J1,J2,J4,J5",,
RJ45-POE-XPJH-01R-1-Q22-17C,J101,,
3.9nH,L1,,
15nH,L2,,
10uH,"L3,L101",,
2N5551,"Q1,Q3",,
IRF540N/TO,Q2,,
1K,"R1,R2,R3,R4,R5,R6,R7,R10,R13,R104,R105",,
50R,R8,,
2K7,"R9,R11,R103",,
10K,"R12,R14,R15,R17,R18,R19",,
120R,R16,,
210K,R101,,
110K,R102,,
50R,"R106,R107,R108,R109",,
NRF52832-QFAA-R,U1,,
IS25LP080,U2,,
MP1584_Board,U3,,
STM32L082KB,U4,,
MAX485/SO,U5,,
ENC28J60-ISO,U101,,
32MHz,X1,,
25MHz,X101,,
